#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
pxqzj9yqu6clhbmqcmpxne7edljjjn2v,Highly confident,3,5
y99z8r21x15bvgabiy99z86ykh5kgqbb,Confident,2,4
6om0llxv49rpxl6f3pym6om0phcaj3rj,Highly confident,1,5
gw30fd1pdzb2nmgw30wqnr73eye213ox,Highly confident,1,5
c30byh24tny45szjc30byfkx1ygudxxp,Highly confident,2,5
kt5c55ldfphvgvzfkt5c55v9v2ue37tu,Confident,3,4
emz5k99uaz0p54gemz5k99qo0ksa257n,Highly confident,2,5
8zfkxu7887ntlb2tzqyg8zfkxhfrkd96,Confident,2,4
xyel7jlftsnod5uliopexyel7jemtr0g,Borderline,1,3
5wdwydafp6gzcucika85wdwydts3mx41,Confident,1,4
3bd8fopfrzpjw0w963bd8f3ngq0xl7f2,Borderline,1,3
9nv5rf5o8hk2ia6otoe49nv5rf5ohc59,Confident,3,4
znymt7zssz4v3n7vqeznyn0ediv0qrhw,Highly confident,3,5
5c3ug4wc8pw655p5cayrfulmrjr2shpm,Highly confident,1,5
b4itvyf2nqeahiv738b4it1f7bmpqs7k,Unconfident,1,1
mdyeln6olye0fwfamdyelgfpq1iund9z,Confident,3,4
bvr1nttru46bvxh70ds8112pj0vclpxh,Confident,1,4
47pi7a0ccaqmaozu47pi79umv7p7dpmu,Highly confident,1,5
bhlgcy1f489ymvm1bhlgcy13pmz6605z,Borderline,1,3
,,1.736842105,4.105263158
,,0.87191394,1.048530021
,,,
,,33,78
