#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
aypm0x8omwn7ewbjayp0iaoywxi5euba,Highly unconfident,12,1
kd4udnntf4mupfkd4udnuk0ajlgik8ka,Borderline,15,3
0zavlzfuzsbhm04fhhe0zavlz9lo7qu6,Highly unconfident,8,1
zyks0csy0vzi51dzfwzyks0c4ieairtn,Unconfident,9,2
nd5on8kbhybb1qqind5onosue67zk50t,Confident,9,4
3u6a1s5ah2ynxz09goo6b3u6a1se8229,Borderline,13,3
by9fo8l1ius5wco2fimby9fo84kx4ldy,Highly unconfident,15,1
jylajhvhh1vywlfgjylaj56v0rf25evu,Unconfident,12,2
pibv9aknbhtr88i2pibv9acc14u2zlyx,Confident,13,4
ep4www7jjk4mdvwjep4wwikhy2a6d7bz,Unconfident,13,2
08p0s91qj4meq60dqjp08p0s9hym5cug,Unconfident,7,2
mlga29q9ucd7wpawmlg5p4f1uaknb6p3,Unconfident,8,2
fv8czulqzqvojl9yvfv8czu69bd96u66,Highly unconfident,8,1
xz32t781xcgom0nyte2gxz32t7o2ygoi,Unconfident,13,2
ncajjwx4j72cuncajwvidg6hn9ilbyv6,Confident,15,4
xqpslidjd72xqpslgzah5gg01xmv2zvx,Borderline,21,3
7pfnusj3vcf99dbq9i7pfnuste8ahg0i,Unconfident,11,2
to073pt2tqs9751qnztwito073pt9hfu,Borderline,10,3
n3c7cz3sz12pyjn3c77bhalzm6loufiq,Borderline,10,3
,,11.68421053,2.368421053
,,3.416506201,1.011628298
,,,
,,222,45
