#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
xthajwu65bdjxthaijcqoa5dkhd7e5ck,Confident,16,4
0skjh2s0azlhn4ogvjili0skjh230n03,Highly confident,11,5
pb8wb43b69nkk0j2rvvpb8wb43bvbhhh,Confident,8,4
g2radfvp3j414kumqp72m3g2rad8xy0s,Highly confident,7,5
sqxi3ugawdf9xqe39b0sqxivzjdk28mz,Highly confident,7,5
4sv3hfh1k7ze2ghx4sv3hf2q6rl03apt,Confident,11,4
vn74o40q82yous92vn74qgcg86fhuibi,Highly confident,13,5
q9plmbnpy4ca1ciqpd1q9plmejts65rp,Confident,12,4
yos7cukk5oxwly8iuzcc5yos7culfwpu,Borderline,9,3
pm75r8if03157pm75z0duc71atsyd1m9,Highly confident,8,5
tv26rxa4p7ftareslvtv28yohu0f1oze,Highly confident,9,5
jffl8ddeidyptumnetcjffa9qsddc44t,Highly confident,7,5
4my1u0yd23tvpvuk9yd4my1rxz2znk01,Highly confident,5,5
n9tk4e7t8dzqcjepan9tkhcgpr66bgab,Confident,5,4
ujm1eriypf69xp7xm0kgujm1ek2dsuwt,Highly confident,8,5
pufcsqewe373g72pufcah1uamp7bg3ho,Confident,3,4
t8uyaifpynlzut8uyowu1lbbrcq28rcp,Confident,4,4
f4fx8nutq5iiavfkof4fx86x89412fzv,Confident,6,4
7znn4qr4hx16zcnwl7znn49c1o14llaa,Borderline,6,3
,,8.157894737,4.368421053
,,3.287402857,0.683985568
,,,
,,155,83
