#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
aryozspcrw36grubju2aryoz1yr2zpy3,Highly unconfident,32,1
l14on562iij09idg76yl14o947w3ousz,Highly unconfident,26,1
w6cjgqrcrteandohh5w6cjgqe1tuwiie,Borderline,27,3
2gks9q43fgbyjk6aqt2gksajcr49ka8s,Borderline,35,3
rjnhftoqcwesutp6rjnhftcdhlzsk3dy,Borderline,33,3
dwgtcrfy7lnkmidwgtz2svp9fewl9c2c,Highly unconfident,39,1
aint31dchp1zfdfgnc2baint31dm17vc,Borderline,23,3
eufcc3x6lh03wtm6aeufcc3ycvk7383y,Highly unconfident,25,1
3tf2dohttrf9v4b3g3tf237ce4a9xk83,Borderline,19,3
lhbddcq7snvmsrylhb4nr3she29vqosw,Borderline,28,3
hh5sduvb2pmx8mmmwhh5suha3evptwy1,Unconfident,24,2
sloht1fik3e5onlmbqsloht64aerut5x,Unconfident,25,2
dmsoihkxt8nivbtdmso30mhths0jx8rm,Highly unconfident,25,1
j8z5gkqdr6e2oatvnnj8z5gkqdr1pj0u,Confident,27,4
s77o87vjsxkaz13tcs77e5n3txx3l9d7,Confident,33,4
qqh8m31pgxh2gj0gmmxqqh8p0oryebou,Borderline,37,3
c701mxdlhnp7mzqi6xqc701mv01wxp0a,Confident,26,4
ydvehxcxlp1v1sbpupydvehxx7aeoen1,Confident,23,4
29tz65vwk2nhwm29diqs2birqaft3qy1,Borderline,21,3
,,27.78947368,2.578947368
,,5.523474625,1.121298329
,,,
,,528,49
