#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
uvi3tbja84a9yukuvi363s53cskn818y,Confident,19,4
gvgoxxqocpd4rjfnfpmzpf7gvgoxxq29,Confident,21,4
jnz9q9ccr6wl3kdz6fzpot9jnz9q5e7n,Borderline,13,3
w8moidyrb99w3w8moi43x8xm6ay4q5s0,Confident,15,4
cbeirw2xcmk5tum6ie0x2zcbeirwy995,Borderline,24,3
1o06ntephot6g0dvdj2bat1o06ntejdg,Confident,29,4
vq84o1fgq17c9gtc2vq84oojzw1gxlre,Highly confident,11,5
ft1lvnhv99kgz2mtzzu0ft1lv8na5s2a,Highly confident,14,5
wfbmnd7i7gi6cg4rstvwfbmndq78vk8c,Borderline,17,3
vs1pezz48nhabv3yfvs1p3dffc9vpjid,Confident,9,4
2ewvzvqs93mw4ofxlysym2ewvzvxo2qh,Confident,15,4
rzq1nt635aq0hj2fdw0y7rzq1ntszxqo,Confident,23,4
7gozqj0rmf8zs1gbxgt27gozqpb7l2mp,Confident,21,4
xl2db7pd0nyjgjrc8xl2db7pdy5smw7e,Highly confident,20,5
ehzdfo788lbzo42ehzdfo3zmsgu8n5yp,Highly confident,20,5
1lipovagcamxpxt1lipc3bbxncgzcqac,Confident,18,4
wwirb30ecgx4ys044kw2bw8wwirb30ep,Confident,11,4
1avwx2o0czefsubipeiy1avwx2oyd9qx,Confident,15,4
2il5xwghngbkw0f62ilgjnbtlku3j8fs,Borderline,17,3
,,17.47368421,4
,,5.01518163,0.666666667
,,,
,,332,76
