#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
hex3r0rg36h6g6j7n88aqxahex3y9vjm,Borderline,43,3
7vfn2bqq160ru7vfdbrot0teea1xy35b,Unconfident,35,2
43vcmnwcttccwb43vcp7d7p6lt4m38h3,Borderline,28,3
4lzs6afmax5pssye4lzsx25qb5uzgnaz,Unconfident,44,2
5vu9w9lz8w2sk8ljhdkc5vu9w9ba2rjj,Borderline,45,3
lz6w6tagpyetfythlz6wsera1khozktt,Borderline,27,3
jyecs3ik37xqal6e5tjyecsvi19ils9i,Borderline,36,3
6qshx1d1ctxrepg2km6qshx1mv7gsrti,Borderline,48,3
s33kb3c9rnxaqg1rcsw3iis33kb33px4,Borderline,51,3
4ytssg32mgijak3i9us4yulxfumcd0gz,Unconfident,46,2
ijam92hsapab0ol77x6lijam92hr7gyk,Unconfident,33,2
px76u6aqw90ydzasargpx76u6j3byzav,Highly unconfident,32,1
0tohjv0jagcks0tohj14wx1l7836kj71,Unconfident,38,2
b3aohb26mf6osqykgb3aohb29dbea3zh,Highly unconfident,29,1
rosew6csl4nxe29jrosek6qag8yvtfud,Confident,30,4
mh5kl0u3vh536t4q5bijmh5kl3l988g2,Confident,30,4
851ppu05dksugqrj851p9gehdvq8otfk,Borderline,43,3
mc22w8go4wrlqwhr6mc22wtkdsrnr5x6,Confident,47,4
ycwg163srxanoa9k6tdvycwg1x3kfpsc,Borderline,41,3
,,38.21052632,2.684210526
,,7.678099789,0.885226373
,,,
,,726,51
