#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
1mri8cf6k52hjps4alxhl1mrieza90jq,Confident,12,4
zc7nxv28brhzc7ihclf5vepaxbuohr7f,Confident,29,4
1rfu6yszwbvptr5o0topos1rfu6ysbjm,Highly confident,15,5
t26uy78rbl9e1cz4t26uioni9zui5xy5,Borderline,17,3
unpwqbwx5ife2i5je2zunpwqmtpyeo4z,Confident,11,4
z0pk005ti6zfowvxre3dzz0pk005tqva,Confident,9,4
g50ay1agdw5k0hivoeug50a9v3xz0c1l,Confident,24,4
e0tniiz8t9p77l6lixe0tniizhlho9dy,Borderline,21,3
r9kg9e8k211p6p9bzr9kgbhlv3oa411g,Highly confident,15,5
0env5zj3kgxjho640jy0env5zwyl7id2,Confident,16,4
6iykx7p00xv3lups0tyh6iykxdt2os25,Confident,16,4
5les1b8qgzboctifzlou95les1q6y9k9,Highly confident,23,5
jtxrqngoxwtofzu9jyakajtxrqn56ir3,Confident,17,4
yef9sqr7qh3gfclkrl4yef9sq3vmhejs,Highly confident,15,5
hkiagrgn6ryioi15hkiagb2ou7k3707o,Borderline,16,3
lxy1lrjn9ewyrn4s9dbylxy1lrmbb6t3,Confident,19,4
mnwhmky3ghqpsh070zmnwhmhk3kw7urx,Confident,22,4
8oszzmqhj9xnhtybuh128osz5bsiyge2,Confident,10,4
zuam32shptjia6xlpenzuam3ke1bnydy,Borderline,10,3
,,16.68421053,4
,,5.323455765,0.666666667
,,,
,,317,76
