#,"Once you finish, please rate how confident you feel about your answer:",Time,Score
reyr0p1kqvdasysybaxreyr0p1e06fka,Unconfident,44,2
b9a647r5hndsjqea8vlb9a6svuv4enyq,Highly unconfident,38,1
5sjhgiyfa4p2h5sja9fri6hdx83v9jaa,Unconfident,41,2
l7lvko1i8uaw6yhassl7lvk3l0n2njur,Unconfident,39,2
ty4bzxlo2wd89snf9mjtvcty4bzxl2wp,Highly unconfident,35,1
ryrbuvk94evg2qu59rryrbuvkebmj35t,Unconfident,30,2
692qpqfebf1iio4boom692cc65reda02,Unconfident,39,2
n0q9bfiw8hfcfh8u2giisn0q9bfpybon,Unconfident,37,2
nmyq0x5v3v9bkczs26h50ynmyq0nw7fa,Borderline,37,3
v949w843epm5j3shnv949wv8v58hztyk,Borderline,34,3
lzob9dk058w53oflzobaqy0lb7xco9ol,Borderline,29,3
4bxq1r34wqfp1zwcy4bxn8kgshtvvakr,Highly unconfident,50,1
mfqkz4hcqe6mqdx3ttmfqkx21bfgrzz1,Borderline,33,3
wv15pdjs8bu7xtidfwv15p8rp3cm4k21,Unconfident,37,2
zn575drfpyd8ib77gi6qdvk5zn575drf,Borderline,31,3
ngf1wmnzs32zghlid8l3ngf0tzus6cyk,Borderline,38,3
q85yrkh0eghnb59nq85yr3fdysmg4fua,Confident,38,4
y7kf7rz2bt3tm8pchy7kf7rzo1viegmv,Confident,36,4
0muj7xxtgkfctv9fv050ipm7o3rhmgza,Borderline,35,3
,,36.89473684,2.421052632
,,4.875046858,0.901590537
,,,
,,701,46
